rank,company,domain,url_guess,status
1,"BrightView Holdings Blue Bell, PA",www.brightview.com,https://www.brightview.com,ready
2,"The Davey Tree Expert Co.Kent, OH",www.davey.com,https://www.davey.com,ready
3,"TruGreenMemphis, TN",www.trugreen.com,https://www.trugreen.com,ready
4,"Yellowstone Landscape Bunnell, FL",www.yellowstonelandscape.com,https://www.yellowstonelandscape.com,ready
5,"Mariani Premier GroupLake Bluff, IL",www.marianipremiergroup.com,https://www.marianipremiergroup.com,ready
6,"HeartLand Kansas City, MO",heartlandcompany.com,https://heartlandcompany.com,ready
7,"Bartlett Tree Experts Stamford, CT",www.bartlett.com,https://www.bartlett.com,ready
8,"Monarch Landscape Cos.Los Angeles, CA",not batch-verified in this pass,,needs_domain_lookup
9,"SavATree Bedford Hills, NY",www.savatree.com,https://www.savatree.com,ready
10,"Gothic Landscape Valencia, CA",gothiclandscape.com,https://gothiclandscape.com,ready
11,"Sperber Landscape Cos.Westlake Village, CA",sperbercompanies.com,https://sperbercompanies.com,ready
12,"Ruppert Landscape Laytonsville, MD",www.ruppertlandscape.com,https://www.ruppertlandscape.com,ready
13,"Weed ManOrono, ON",weedman.com,https://weedman.com,ready
14,"Juniper Fort Myers, FL",junipercares.com,https://junipercares.com,ready
15,"LandCare Frederick, MD",landcare.com,https://landcare.com,ready
16,"Divisions Maintenance Group Cincinnati, OH",divisionsmg.com,https://divisionsmg.com,ready
17,"United Land Services Jacksonville, FL",www.unitedlandservices.com,https://www.unitedlandservices.com,ready
18,"Outworx Group Westbury, NY",outworxgroup.com,https://outworxgroup.com,ready
19,"U.S. Lawns Orlando, FL",uslawns.com,https://uslawns.com,ready
20,"Park West Rancho Santa Margarita, CA",www.parkwestinc.com,https://www.parkwestinc.com,ready
21,"Lawn DoctorHolmdel, NJ",www.lawndoctor.com,https://www.lawndoctor.com,ready
22,"Landscape Development Inc.Valencia, CA",landscapedevelopment.com,https://landscapedevelopment.com,ready
23,"Yardnique Morrisville , NC",yardnique.com,https://yardnique.com,ready
24,"Perennial Services GroupPittsburgh, PA",not batch-verified in this pass,,needs_domain_lookup
25,"Turf Masters Brands Roswell, GA",turfmastersbrands.com,https://turfmastersbrands.com,ready
26,"Clean Scapes Austin, TX",cleanscapes.net,https://cleanscapes.net,ready
27,"Senske Family of Cos.Kennewick, WA",not batch-verified in this pass,,needs_domain_lookup
28,"Landscape Workshop Vestavia, AL",landscapeworkshop.com,https://landscapeworkshop.com,ready
29,"The Grounds GuysWaco, TX",www.groundsguys.com,https://www.groundsguys.com,ready
30,"Rotolo Consultants Slidell, LA",www.rotoloconsultants.com,https://www.rotoloconsultants.com,ready
31,"Schill Grounds Management Westlake, OH",www.schilllandscaping.com,https://www.schilllandscaping.com,ready
32,"Visterra Landscape Group Rosemont, IL",not batch-verified in this pass,,needs_domain_lookup
33,"Sunrise Landscape Tampa, FL",not batch-verified in this pass,,needs_domain_lookup
34,"LMC Landscape Partners Plano, TX",lmclandscapepartners.com,https://lmclandscapepartners.com,ready
35,"Massey Services Orlando, FL",www.masseyservices.com,https://www.masseyservices.com,ready
36,Garden Design Garden Design,www.gardendesignlandscaping.com,https://www.gardendesignlandscaping.com,ready
37,SunWorks Landscape Partners SunWorks Landscape Partners,not batch-verified in this pass,,needs_domain_lookup
38,"Spring Green Lawn Care Corp.Plainfield, IL",www.spring-green.com,https://www.spring-green.com,ready
39,"Mainscape Fishers, IN",www.mainscape.com,https://www.mainscape.com,ready
40,"Elite Team Offices Clovis, CA",www.eliteteamoffices.com,https://www.eliteteamoffices.com,ready
41,"Fairwood Brands Columbus, OH",not batch-verified in this pass,,needs_domain_lookup
42,"Lucas Tree Experts Portland, ME",www.lucastree.com,https://www.lucastree.com,ready
43,"Russell Landscape Group Sugar Hill, GA",not batch-verified in this pass,,needs_domain_lookup
44,"Ethoscapes Sugarland, TX",not batch-verified in this pass,,needs_domain_lookup
45,"Bland Landscaping Company Apex, NC",not batch-verified in this pass,,needs_domain_lookup
46,ExperiGreen ExperiGreen,not batch-verified in this pass,,needs_domain_lookup
47,"Dixie Landscape Miami, FL",not batch-verified in this pass,,needs_domain_lookup
48,"Choate USA Carrollton, TX",www2.choateusa.com,https://www2.choateusa.com,ready
49,"Superscapes Carrollton, TX",not batch-verified in this pass,,needs_domain_lookup
50,"Maldonado Nursery & Landscaping San Antonio, TX",not batch-verified in this pass,,needs_domain_lookup
